,Everton,Sheffield United,Leicester City,Chelsea,Liverpool,Southampton,Norwich City,Burnley,Manchester United,Crystal Palace,Wolverhampton Wanderers,West Ham United,Tottenham Hotspur,Manchester City,Arsenal,AFC Bournemouth,Brighton & Hove Albion,Watford,Newcastle United,Aston Villa
0,Lucas Digne,Dean HendersonL,Jamie Vardy,N'Golo Kanté,Virgil van Dijk,Pierre-Emile Højbjerg,Emiliano Buendía,Nick Pope,De Gea,Wilfried Zaha,João Moutinho,Sébastien Haller,Harry Kane,Kevin De Bruyne,Pierre-Emerick Aubameyang,Nathan Aké,Mathew Ryan,Deulofeu,Martin Dúbravka,Jack Grealish
1,France,England,England,France,Netherlands,Denmark,Argentina,England,Spain,Ivory Coast,Portugal,France,England,Belgium,Gabon,Netherlands,Australia,Spain,Slovakia,England
2,83,79,86,89,91,79,77,80,88,83,84,82,89,91,88,80,80,81,82,80
3,86,87,86,89,92,84,83,81,88,83,84,84,91,91,88,84,82,82,82,85
4,27,23,33,29,29,25,23,28,29,27,34,26,27,29,31,25,28,26,31,24
5,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,3
6,33,90,63,101,127,22,9,21,89,84,8,20,92,107,146,58,10,36,12,130
7,1,0,4,2,1,2,3,0,0,3,2,4,4,2,4,1,0,3,0,2
8,Richarlison,Sander Berge,Wilfred Ndidi,Mateo Kovačić,Alisson,James Ward-Prowse,Teemu Pukki,James Tarkowski,Paul Pogba,Guaita,Raúl Jiménez,Felipe Anderson,Heung Min Son,Sergio Agüero,Bernd Leno,Ryan Fraser,Lewis Dunk,Abdoulaye Doucouré,Allan Saint-Maximin,Pepe ReinaL
9,Brazil,Norway,Nigeria,Croatia,Brazil,England,Finland,England,France,Spain,Mexico,Brazil,Korea Republic,Argentina,Germany,Scotland,England,France,France,Spain
10,81,79,84,84,90,79,77,80,87,80,83,82,87,90,85,79,79,80,80,80
11,88,87,88,87,91,83,77,81,88,80,83,82,87,90,87,80,81,83,86,80
12,23,22,23,26,27,25,30,27,27,33,29,27,28,32,28,26,28,27,23,38
13,3,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,3,1
14,152,29,29,46,66,18,16,9,102,7,155,22,116,83,52,21,5,26,198,8
15,4,2,2,2,0,2,4,1,2,0,4,3,3,4,0,3,1,2,3,0
16,Jordan Pickford,Jack O'Connell,Ricardo Pereira,Jorginho,Mohamed Salah,Danny Ings,Ondrej DudaL,Chris Wood,Bruno Fernandes,Luka Milivojević,Rui Patrício,Tomáš Souček,Hugo Lloris,Ederson,Alexandre Lacazette,Callum Wilson,Leandro Trossard,Ben Foster,Fabian Schär,Mbwana Ally Samatta
17,England,England,Portugal,Italy,Egypt,England,Slovakia,New Zealand,Portugal,Serbia,Portugal,Czech Republic,France,Brazil,France,England,Belgium,England,Switzerland,Tanzania
18,81,77,84,84,90,79,76,78,86,79,83,81,87,88,84,79,78,80,79,78
19,84,81,86,84,90,79,81,78,89,79,83,86,87,91,84,79,81,80,81,79
20,26,26,26,28,28,28,25,28,26,29,32,25,33,27,29,28,25,37,28,27
21,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1
22,26,3,29,39,167,79,7,4,132,3,12,21,27,31,117,44,4,3,5,13
23,0,1,1,2,3,4,2,4,2,2,0,2,0,0,4,4,3,0,1,4
24,André Gomes,John Egan,Kasper Schmeichel,Azpilicueta,Sadio Mané,Jan Bednarek,Tim Krul,Ben Mee,Marcus Rashford,Gary Cahill,Rúben Neves,Łukasz Fabiański,Toby Alderweireld,Raheem Sterling,Mesut Özil,Joshua King,Shane Duffy,Etienne Capoue,Miguel Almirón,Tom Heaton
25,Portugal,Republic of Ireland,Denmark,Spain,Senegal,Poland,Netherlands,England,England,England,Portugal,Poland,Belgium,England,Germany,Norway,Republic of Ireland,France,Paraguay,England
26,80,77,83,84,90,78,76,78,84,78,82,81,86,88,83,78,78,79,78,78
27,83,79,83,84,90,84,76,78,89,78,87,81,86,90,83,78,79,79,79,78
28,27,27,33,31,28,24,32,30,22,34,23,35,31,25,31,28,28,32,26,34
29,2,1,1,3,1,1,1,1,2,1,1,1,1,2,2,3,1,2,3,1
30,17,9,10,36,109,16,6,0,97,4,26,10,16,92,120,12,10,5,19,4
31,2,1,0,1,3,1,0,1,3,1,2,0,1,3,2,4,1,2,3,0
32,Gylfi Sigurðsson,Enda Stevens,James Maddison,Kepa,Roberto Firmino,Jannik Vestergaard,Lukas Rupp,Ashley Barnes,Anthony Martial,Jordan Ayew,Diogo Jota,Pablo Fornals,Jan Vertonghen,Bernardo Silva,Nicolas Pépé,Harry WilsonL,Pascal Groß,Ismaïla Sarr,Jamaal Lascelles,Wesley
33,Iceland,Republic of Ireland,England,Spain,Brazil,Denmark,Germany,England,France,Ghana,Portugal,Spain,Belgium,Portugal,Ivory Coast,Wales,Germany,Senegal,England,Brazil
34,80,77,82,83,88,77,75,78,83,77,80,79,85,87,82,77,78,78,78,77
35,80,77,87,87,88,78,75,78,87,77,86,85,85,90,87,84,78,88,82,83
36,31,30,23,25,28,28,29,30,24,28,23,24,33,26,25,23,29,22,26,23
37,2,1,3,1,1,1,2,1,1,2,2,3,2,3,2,2,3,2,1,1
38,27,3,48,265,83,9,1,2,494,8,34,9,37,59,150,13,2,39,8,13
39,2,1,2,0,4,1,2,4,4,4,3,3,1,3,3,3,2,3,1,4
40,Dominic Calvert-Lewin,John Fleck,Ben Chilwell,Antonio Rüdiger,Andrew Robertson,Nathan Redmond,Todd Cantwell,Dwight McNeil,Harry Maguire,Andros Townsend,Willy Boly,Manuel Lanzini,Dele Alli,Aymeric Laporte,Lucas Torreira,Diego Rico,Aaron Mooy,Will Hughes,Federico Fernández,John McGinn
41,England,Scotland,England,Germany,Scotland,England,England,England,England,England,France,Argentina,England,France,Uruguay,Spain,Australia,England,Argentina,Scotland
42,79,77,81,82,86,77,74,77,83,77,80,79,83,87,81,77,77,78,78,77
43,84,77,85,84,89,78,82,86,86,77,80,80,88,90,86,78,77,83,78,82
44,23,29,23,27,26,26,22,20,27,29,29,27,24,26,24,27,29,25,31,25
45,1,1,1,1,1,2,2,1,1,3,1,3,2,1,2,1,2,3,1,1
46,29,4,76,22,59,6,14,18,701,9,6,7,63,49,25,3,5,5,2,18
47,4,2,1,1,1,3,3,3,1,3,1,2,2,1,2,1,2,2,1,2
48,Yerry Mina,Oliver Norwood,Youri Tielemans,Willian,Fabinho,Alex McCarthy,Max Aarons,Jóhann Berg Guðmundsson,Aaron Wan-Bissaka,Cheikhou Kouyaté,Matt Doherty,Declan Rice,Giovani Lo CelsoL,David Silva,Dani CeballosL,Jefferson Lerma,Davy Pröpper,Christian Kabasele,Florian Lejeune,Frédéric Guilbert
49,Colombia,Northern Ireland,Belgium,Brazil,Brazil,England,England,Iceland,England,Senegal,Republic of Ireland,England,Argentina,Spain,Spain,Colombia,Netherlands,Belgium,France,France
50,79,77,81,82,86,77,73,77,82,77,80,78,82,87,81,77,77,78,78,76
51,83,77,87,82,88,77,85,77,89,77,80,86,87,87,86,80,77,79,80,81
52,25,29,23,32,26,30,20,29,22,30,28,21,24,34,24,25,29,29,29,25
53,1,1,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2
54,34,7,45,91,101,3,40,1,105,2,43,113,41,35,41,11,0,0,2,8
55,1,3,2,3,2,0,1,3,1,2,1,2,2,2,2,2,2,1,1,1
56,Jean-Philippe Gbamin,Panagiotis RetsosL,Çağlar Söyüncü,Kurt Zouma,Trent Alexander-Arnold,Ryan Bertrand,Christoph Zimmermann,Ashley Westwood,Victor Lindelöf,Mamadou Sakho,Leander Dendoncker,Issa Diop,Steven Bergwijn,Leroy Sané,David Luiz,Steve Cook,Alexis Mac Allister,Roberto Pereyra,Jonjo Shelvey,Trezeguet
57,Ivory Coast,Greece,Turkey,France,England,England,Germany,England,Sweden,France,Belgium,France,Netherlands,Germany,Brazil,England,Argentina,Argentina,England,Egypt
58,79,75,80,81,85,77,73,77,81,77,79,78,82,86,81,77,76,77,78,76
59,84,84,85,84,90,77,75,77,85,77,84,85,87,90,81,77,86,77,78,79
