,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
0,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Alessandro Pistone,Tony Hibbert,Tim Cahill,Leon Osman,Simon Davies,Mikel Arteta,James Beattie,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,Gary Neville,John O'Shea,Darren Fletcher,Park Ji-Sung,Roy Keane,Paul Scholes,Wayne Rooney,Ruud van Nistelrooy,0,2,-2,2,5
1,Fulham,Tony Warner,Niclas Jensen,Zesh Rehman,Zat Knight,Moritz Volz,Claus Jensen,Luís Boa Morte,Steed Malbranque,Sylvain Legwinski,Tomasz Radzinski,Brian McBride,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Jermaine Pennant,Nicky Butt,Julian Gray,Stephen Clemence,Walter Pandiani,Emile Heskey,0,0,0,0,5
2,Manchester City,David James,Stephen Jordan,Danny Mills,David Sommeil,Ben Thatcher,Claudio Reyna,Kiki Musampa,Trevor Sinclair,Joey Barton,Andrew Cole,Darius Vassell,West Bromwich Albion,Chris Kirkland,Neil Clement,Paul Robinson,Martin Albrechtsen,Ronnie Wallwork,Thomas Gaardsoe,Zoltán Gera,Jonathan Greening,Junichi Inamoto,Kanu,Kevin Campbell,0,0,0,0,5
3,Middlesbrough,Mark Schwarzer,Franck Queudrue,Ugo Ehiogu,Gareth Southgate,Michael Reiziger,Stewart Downing,George Boateng,Ray Parlour,Gaizka Mendieta,Jimmy Floyd Hasselbaink,Yakubu,Liverpool,Pepe Reina,Jamie Carragher,Sami Hyypiä,Steve Finnan,Mohamed Sissoko,Xabi Alonso,Luis García,Steven Gerrard,Stephen Warnock,Boudewijn Zenden,Fernando Morientes,0,0,0,0,5
4,Portsmouth,Sander Westerveld,Andy O'Brien,Andy Griffin,Dejan Stefanovic,Grégory Vignal,Jhon Viáfara,Richard Hughes,Laurent Robert,Ivica Mornar,Lomana Lua Lua,Azar Karadas,Tottenham Hotspur,Paul Robinson,Michael Dawson,Erik Edman,Anthony Gardner,Paul Stalteri,Michael Carrick,Wayne Routledge,Andy Reid,Jermain Defoe,Teemu Tainio,Mido,0,2,-2,2,5
5,Sunderland,Kelvin Davis,Stephen Wright,Gary Breen,Steven Caldwell,Carl Robinson,Andy Gray,Julio Arca,Tommy Miller,Dean Whitehead,Jon Stead,Andrew Welsh,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Darren Ambrose,Alexei Smertin,Danny Murphy,Dennis Rommedahl,Radostin Kishishev,Darren Bent,1,3,-2,2,5
6,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Christian Dailly,Nigel Reo-Coker,Hayden Mullins,Matthew Etherington,Paul Konchesky,Teddy Sheringham,Marlon Harewood,Yossi Benayoun,Blackburn Rovers,Brad Friedel,Andrew Todd,Lucas Neill,Dominic Matteo,Aaron Mokoena,Robbie Savage,Brett Emerton,Morten Gamst Pedersen,Steven Reid,Craig Bellamy,Shefki Kuqi,3,1,2,1,5
7,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Kolo Touré,Philippe Senderos,Fredrik Ljungberg,Gilberto Silva,Robert Pires,Cesc Fàbregas,Dennis Bergkamp,Thierry Henry,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Jermaine Jenas,Emre,Kieron Dyer,Scott Parker,Lee Bowyer,Alan Shearer,2,0,2,1,5
8,Wigan Athletic,Mike Pollitt,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Damien Francis,Alan Mahon,Gary Teale,Jason Roberts,Henri Camara,Chelsea,Petr Cech,Paulo Ferreira,John Terry,Asier Del Horno,William Gallas,Damien Duff,Claude Makelele,Arjen Robben,Frank Lampard,Didier Drogba,Eidur Gudjohnsen,0,1,-1,2,5
9,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Jermaine Pennant,Nicky Butt,Julian Gray,Stephen Clemence,Mikael Forssell,Walter Pandiani,Manchester City,David James,Stephen Jordan,Danny Mills,Richard Dunne,Ben Thatcher,Trevor Sinclair,Claudio Reyna,Kiki Musampa,Joey Barton,Darius Vassell,Andrew Cole,1,2,-1,2,5
